latitude,longitude,Dataset,title,thumbnail_url,artist_name,year,art_type,location_description,geom,address
34.035591,-118.170193,Nancy Tovar East LA Mural Collection,unknown,images/Tovar/21198-zz0025q8mr_1767444_thumbnail.jpg,Unknown,1976,,East Los Angeles,"34.035591,-118.170193","Long Beach Freeway, Belvedere, East Los Angeles, Los Angeles County, California, 90063-3422, United States"
34.055856,-118.177603,Nancy Tovar East LA Mural Collection,La Doliente de Hidalgo,images/Tovar/21198-zz0025q8sb_1767447_thumbnail.jpg,Willie Herrón III,1976,,Mural located at 4301 City Terrace Ave. (and Miller) at the Mercado Hidalgo in City Terrace,"34.055856,-118.177603","City Terrace Drive, City Terrace, East Los Angeles, Los Angeles County, California, 90032-3813, United States"
34.055856,-118.177603,Nancy Tovar East LA Mural Collection,La Doliente de Hidalgo,images/Tovar/21198-zz0025q8zx_1767450_thumbnail.jpg,Willie Herrón III,1976,,Mural located at 4301 City Terrace Ave. (and Miller) at the Mercado Hidalgo in City Terrace,"34.055856,-118.177603","City Terrace Drive, City Terrace, East Los Angeles, Los Angeles County, California, 90032-3813, United States"
34.055856,-118.177603,Nancy Tovar East LA Mural Collection,La Doliente de Hidalgo,images/Tovar/21198-zz0025q940_1767453_thumbnail.jpg,Willie Herrón III,1976,,Mural located at 4301 City Terrace Ave. (and Miller) at the Mercado Hidalgo in City Terrace,"34.055856,-118.177603","City Terrace Drive, City Terrace, East Los Angeles, Los Angeles County, California, 90032-3813, United States"
34.055856,-118.177603,Nancy Tovar East LA Mural Collection,La Doliente de Hidalgo,images/Tovar/21198-zz0025q99k_1767456_thumbnail.jpg,Willie Herrón III,1976,,Mural located at 4301 City Terrace Ave. (and Miller) at the Mercado Hidalgo in City Terrace,"34.055856,-118.177603","City Terrace Drive, City Terrace, East Los Angeles, Los Angeles County, California, 90032-3813, United States"
34.055856,-118.177603,Nancy Tovar East LA Mural Collection,La Doliente de Hidalgo,images/Tovar/21198-zz0025q9fn_1767459_thumbnail.jpg,Willie Herrón III,1976,,Mural located at 4301 City Terrace Ave. (and Miller) at the Mercado Hidalgo in City Terrace,"34.055856,-118.177603","City Terrace Drive, City Terrace, East Los Angeles, Los Angeles County, California, 90032-3813, United States"
34.055856,-118.177603,Nancy Tovar East LA Mural Collection,La Doliente de Hidalgo,images/Tovar/21198-zz0025q9m7_1767462_thumbnail.jpg,Willie Herrón III,1976,,Mural located at 4301 City Terrace Ave. (and Miller) at the Mercado Hidalgo in City Terrace,"34.055856,-118.177603","City Terrace Drive, City Terrace, East Los Angeles, Los Angeles County, California, 90032-3813, United States"
34.055856,-118.177603,Nancy Tovar East LA Mural Collection,La Doliente de Hidalgo,images/Tovar/21198-zz0025q9qs_1833614_thumbnail.jpg,Willie Herrón III,1976,,Mural located at 4301 City Terrace Ave. (and Miller) at the Mercado Hidalgo in City Terrace,"34.055856,-118.177603","City Terrace Drive, City Terrace, East Los Angeles, Los Angeles County, California, 90032-3813, United States"
34.055856,-118.177603,Nancy Tovar East LA Mural Collection,La Doliente de Hidalgo,images/Tovar/21198-zz0025q9st_1767465_thumbnail.jpg,Willie Herrón III,1976,,Mural located at 4301 City Terrace Ave. (and Miller) at the Mercado Hidalgo in City Terrace,"34.055856,-118.177603","City Terrace Drive, City Terrace, East Los Angeles, Los Angeles County, California, 90032-3813, United States"
34.055856,-118.177603,Nancy Tovar East LA Mural Collection,La Doliente de Hidalgo,images/Tovar/21198-zz0025q9zd_1767468_thumbnail.jpg,Willie Herrón III,1976,,Mural located at 4301 City Terrace Ave. (and Miller) at the Mercado Hidalgo in City Terrace,"34.055856,-118.177603","City Terrace Drive, City Terrace, East Los Angeles, Los Angeles County, California, 90032-3813, United States"
